feature,importance,target
cogs_lag_365,3416,Revenue
cogs_lag_1,3342,Revenue
revenue_lag_1,3075,Revenue
cogs_lag_30,2866,Revenue
revenue_lag_7,2774,Revenue
revenue_lag_365,2771,Revenue
cogs_lag_60,2734,Revenue
revenue_lag_90,2680,Revenue
cogs_lag_14,2679,Revenue
revenue_lag_60,2664,Revenue
cogs_lag_180,2618,Revenue
revenue_lag_180,2527,Revenue
cogs_lag_7,2477,Revenue
cogs_lag_90,2436,Revenue
revenue_lag_30,2435,Revenue
revenue_lag_14,2416,Revenue
revenue_roll_std_7,2347,Revenue
dayofmonth,2285,Revenue
cogs_roll_std_7,2024,Revenue
doy_sin,1820,Revenue
cogs_roll_mean_7,1818,Revenue
revenue_roll_mean_7,1652,Revenue
revenue_roll_std_14,1636,Revenue
cogs_roll_std_14,1465,Revenue
cogs_roll_mean_14,1320,Revenue
dayofweek,1317,Revenue
cogs_roll_std_30,1308,Revenue
revenue_roll_mean_14,1292,Revenue
revenue_roll_std_30,1263,Revenue
doy_cos,1227,Revenue
cogs_roll_min_7,1090,Revenue
cogs_roll_std_90,1055,Revenue
revenue_roll_std_60,1013,Revenue
dow_sin,1007,Revenue
revenue_roll_min_7,946,Revenue
dayofyear,925,Revenue
cogs_roll_std_60,876,Revenue
revenue_roll_min_14,870,Revenue
dow_cos,862,Revenue
cogs_roll_mean_30,834,Revenue
revenue_roll_mean_30,823,Revenue
cogs_roll_max_7,813,Revenue
revenue_roll_std_90,810,Revenue
revenue_roll_mean_60,799,Revenue
cogs_roll_min_14,770,Revenue
revenue_roll_max_7,769,Revenue
cogs_roll_mean_60,749,Revenue
revenue_roll_mean_90,672,Revenue
cogs_roll_mean_90,623,Revenue
revenue_roll_min_60,618,Revenue
cogs_roll_max_14,603,Revenue
revenue_roll_min_30,600,Revenue
revenue_roll_max_14,517,Revenue
revenue_roll_min_90,514,Revenue
cogs_roll_min_30,508,Revenue
year,476,Revenue
cogs_roll_max_30,422,Revenue
revenue_roll_max_30,389,Revenue
cogs_roll_min_60,370,Revenue
cogs_roll_min_90,363,Revenue
cogs_roll_max_60,320,Revenue
cogs_roll_max_90,293,Revenue
weekofyear,292,Revenue
revenue_roll_max_60,285,Revenue
revenue_roll_max_90,269,Revenue
month_sin,67,Revenue
month_cos,50,Revenue
month,44,Revenue
is_weekend,10,Revenue
quarter,0,Revenue
cogs_lag_1,3559,COGS
cogs_lag_365,3328,COGS
cogs_lag_60,2788,COGS
cogs_lag_30,2777,COGS
revenue_lag_60,2769,COGS
cogs_lag_180,2752,COGS
revenue_lag_365,2722,COGS
cogs_lag_90,2710,COGS
revenue_lag_90,2699,COGS
revenue_lag_1,2675,COGS
revenue_lag_7,2663,COGS
cogs_lag_14,2633,COGS
revenue_lag_30,2513,COGS
revenue_lag_180,2498,COGS
cogs_lag_7,2480,COGS
revenue_lag_14,2334,COGS
dayofmonth,2318,COGS
revenue_roll_std_7,2139,COGS
cogs_roll_std_7,2048,COGS
cogs_roll_mean_7,1721,COGS
revenue_roll_mean_7,1655,COGS
doy_sin,1627,COGS
revenue_roll_std_14,1602,COGS
cogs_roll_std_14,1440,COGS
cogs_roll_std_30,1431,COGS
revenue_roll_std_30,1318,COGS
dayofweek,1317,COGS
cogs_roll_mean_14,1289,COGS
revenue_roll_mean_14,1217,COGS
cogs_roll_std_90,1195,COGS
cogs_roll_min_7,1177,COGS
doy_cos,1082,COGS
dow_sin,1082,COGS
dayofyear,1018,COGS
cogs_roll_std_60,973,COGS
revenue_roll_std_60,928,COGS
cogs_roll_mean_30,923,COGS
revenue_roll_mean_30,889,COGS
dow_cos,883,COGS
revenue_roll_min_7,876,COGS
cogs_roll_min_14,876,COGS
revenue_roll_min_14,873,COGS
revenue_roll_std_90,805,COGS
revenue_roll_mean_60,789,COGS
revenue_roll_max_7,756,COGS
cogs_roll_max_7,737,COGS
cogs_roll_mean_60,718,COGS
cogs_roll_mean_90,664,COGS
revenue_roll_mean_90,662,COGS
revenue_roll_min_30,605,COGS
cogs_roll_min_30,597,COGS
cogs_roll_max_14,585,COGS
revenue_roll_min_90,583,COGS
revenue_roll_min_60,581,COGS
year,504,COGS
revenue_roll_max_14,484,COGS
cogs_roll_max_30,449,COGS
cogs_roll_min_60,362,COGS
revenue_roll_max_30,360,COGS
cogs_roll_max_60,334,COGS
cogs_roll_min_90,327,COGS
cogs_roll_max_90,312,COGS
revenue_roll_max_60,276,COGS
weekofyear,271,COGS
revenue_roll_max_90,199,COGS
month_cos,108,COGS
month_sin,69,COGS
month,55,COGS
is_weekend,9,COGS
quarter,2,COGS
