target,fold,split_start,split_end,model,MAE,RMSE,R2
Revenue,1,2019-01-02,2020-01-01,lag_1,690144.0464657533,991019.0775012698,0.6354595067535158
Revenue,1,2019-01-02,2020-01-01,lag_365,2045918.0296986303,2782217.688180484,-1.8731874565352356
Revenue,1,2019-01-02,2020-01-01,lightgbm_log1p_ts_cv,709784.8460081979,915735.3598417725,0.6887411450600571
Revenue,2,2020-01-02,2020-12-31,lag_1,647511.6497260274,924986.3150936039,0.6805071404562911
Revenue,2,2020-01-02,2020-12-31,lag_365,752188.4645479454,1062633.0602565226,0.5783450644894006
Revenue,2,2020-01-02,2020-12-31,lightgbm_log1p_ts_cv,555751.0992662606,777840.0210551223,0.7740714524402106
Revenue,3,2021-01-01,2021-12-31,lag_1,649253.5552328768,999916.1328681989,0.6290911996318762
Revenue,3,2021-01-01,2021-12-31,lag_365,710078.1359452055,1017039.6429600702,0.6162788389268441
Revenue,3,2021-01-01,2021-12-31,lightgbm_log1p_ts_cv,568273.3261443409,820672.3201742435,0.7501498823785893
Revenue,4,2022-01-01,2022-12-31,lag_1,724145.7841917808,1077205.6831459715,0.5858239307873336
Revenue,4,2022-01-01,2022-12-31,lag_365,837704.0917808219,1161819.0014722333,0.51820234689425
Revenue,4,2022-01-01,2022-12-31,lightgbm_log1p_ts_cv,617977.0729229919,838242.3572540964,0.7492003449328394
COGS,1,2019-01-02,2020-01-01,lag_1,633460.1888219179,924148.7465280462,0.5879334542478455
COGS,1,2019-01-02,2020-01-01,lag_365,1551304.1321095892,2123841.1272781678,-1.1763445513007094
COGS,1,2019-01-02,2020-01-01,lightgbm_log1p_ts_cv,681271.2376023474,905243.9887708597,0.6046198164512844
COGS,2,2020-01-02,2020-12-31,lag_1,548789.7770958905,785743.1701794562,0.6694455601371286
COGS,2,2020-01-02,2020-12-31,lag_365,614024.1776438355,877092.5550650633,0.5881181880684507
COGS,2,2020-01-02,2020-12-31,lightgbm_log1p_ts_cv,461796.9523948731,640724.5914401397,0.7802015877200962
COGS,3,2021-01-01,2021-12-31,lag_1,588769.4515068494,918996.6948333917,0.5892715290572077
COGS,3,2021-01-01,2021-12-31,lag_365,549914.4282191781,769672.479404457,0.7119029404556216
COGS,3,2021-01-01,2021-12-31,lightgbm_log1p_ts_cv,492405.07260897994,745582.504309825,0.729655009631839
COGS,4,2022-01-01,2022-12-31,lag_1,638644.8655890411,944766.3972259358,0.5804382568634379
COGS,4,2022-01-01,2022-12-31,lag_365,701957.5676986302,960716.1768052761,0.5661523875882349
COGS,4,2022-01-01,2022-12-31,lightgbm_log1p_ts_cv,534313.4392604019,738425.2993325107,0.7436931931283072
